a "In; on; at; by."
minge "To mingle; to mix."
mingled "of Mingle"
mingling "of Mingle"
mingle "To associate or unite in society or by ties of relationship; to cause or allow to intermarry; to intermarry."
mingleable "That can be mingled."
mingledly "Confusedly."
mingle-mangle "To mix in a disorderly way; to make a mess of."
mingler "One who mingles."
minglingly "In a mingling manner."
minaceous "Of the color of minium or red lead; miniate."
miniard "Migniard."
miniardize "To render delicate or dainty."
miniated "of Miniate"
miniating "of Miniate"
miniate "Of or pertaining to the color of red lead or vermilion; painted with vermilion."
miniature "Greatly diminished size or form; reduced scale."
miniaturist "A painter of miniatures."
minie "rifle A rifle adapted to minie balls."
minified "of Minify"
minifying "of Minify"
minify "To degrade by speech or action."
minikin "A little darling; a favorite; a minion."
minim "A small fish; a minnow."
miniment "A trifle; a trinket; a token."
minimization "The act or process of minimizing."
minimized "of Minimize"
minimizimg "of Minimize"
minimize "To reduce to the smallest part or proportion possible; to reduce to a minimum."
minima "of Minimum"
minimi "of Minimus"
minimus "A being of the smallest size."
minion "Minimum."
minionette "Small; delicate."
minioning "Kind treatment."
minionize "To flavor."
minionlike "Alt. of Minionly"
minionly "Like a minion; daintily."
minionship "State of being a minion."
minious "Of the color of red or vermilion."
minish "To diminish; to lessen."
minister "An officer of justice."
ministered "of Minister"
ministering "of Minister"
ministerial "Of or pertaining to ministry or service; serving; attendant."
ministerially "In a ministerial manner; in the character or capacity of a minister."
ministery "See Ministry."
ministracy "Ministration."
ministral "Ministerial."
ministrant "Performing service as a minister; attendant on service; acting under command; subordinate."
ministration "The act of ministering; service; ministry."
ministrative "Serving to aid; ministering."
ministress "A woman who ministers."
ministry "The act of ministering; ministration; service."
ministryship "The office of a minister."
miniver "A fur esteemed in the Middle Ages as a part of costume. It is uncertain whether it was the fur of one animal only or of different animals."
minivet "A singing bird of India of the family Campephagidae."
minny "A minnow."
minor "A Minorite; a Franciscan friar."
minorate "To diminish."
minoration "A diminution."
minorite "A Franciscan friar."
minorities "of Minority"
minority "State of being less or small."
minow "See Minnow."
minstrelsy "The arts and occupation of minstrels; the singing and playing of a minstrel."
mint "A place where money is coined by public authority."
minted "of Mint"
minting "of Mint"
mintage "The duty paid to the mint for coining."
minter "One who mints."
mintmen "of Mintman"
mint-master "The master or superintendent of a mint. Also used figuratively."
minuend "The number from which another number is to be subtracted."
minum "A small kind of printing type; minion."
minuscule "A small Roman letter which is neither capital nor uncial; a manuscript written in such letters."
minute "A nautical or a geographic mile."
minute-jack "A figure which strikes the hour on the bell of some fanciful clocks; -- called also jack of the clock house."
minutely "In a minute manner; with minuteness; exactly; nicely."
minutemen "of Minuteman"
minuteman "A militiaman who was to be ready to march at a moment's notice; -- a term used in the American Revolution."
minuteness "The quality of being minute."
minutiae "of Minutia"
minutia "A minute particular; a small or minor detail; -- used chiefly in the plural."
minx "A pert or a wanton girl."
miny "Abounding with mines; like a mine."
miocene "Of or pertaining to the middle division of the Tertiary."
miquelet "An irregular or partisan soldier; a bandit."
mir "A Russian village community."
mira "A remarkable variable star in the constellation Cetus ."
mirabilaries "of Mirabilary"
mirabilis "A genus of plants. See Four-o'clock."
mirabilite "Native sodium sulphate; Glauber's salt."
mirable "Wonderful; admirable."
miracle "A wonder or wonderful thing."
miraculize "To cause to seem to be a miracle."
miraculous "Supernatural; wonderful."
mirador "Same as Belvedere."
mirbane "See Nitrobenzene."
mire "An ant."
mired "of Mire"
miring "of Mire"
mirific "Alt. of Mirifical"
mirifical "Working wonders; wonderful."
mirificent "Wonderful."
miriness "The quality of being miry."
mirk "Dark; gloomy; murky."
mirksome "Dark; gloomy; murky."
mirky "Dark; gloomy. See Murky."
mirror "A looking-glass or a speculum; any glass or polished substance that forms images by the reflection of rays of light."
mirrored "of Mirror"
mirroring "of Mirror"
mirth "Merriment; gayety accompanied with laughter; jollity."
mirthless "Without mirth."
mis "Wrong; amiss."
misacceptation "Wrong acceptation; understanding in a wrong sense."
misaccompt "To account or reckon wrongly."
misadjust "To adjust wrongly of unsuitably; to throw of adjustment."
misadjustment "Wrong adjustment; unsuitable arrangement."
misadventure "Mischance; misfortune; ill lick; unlucky accident; ill adventure."
misadventured "Unfortunate."
misadventurous "Unfortunate."
misadvertence "Inadvertence."
misadvice "Bad advice."
misadvise "To give bad counsel to."
misadvised "Ill advised."
misaffect "To dislike."
misaffected "Ill disposed."
misaffection "An evil or wrong affection; the state of being ill affected."
misaffirm "To affirm incorrectly."
misaimed "Not rightly aimed."
misallegation "A erroneous statement or allegation."
misallege "To state erroneously."
misalliance "A marriage with a person of inferior rank or social station; an improper alliance; a mesalliance."
misallied "Wrongly allied or associated."
misallotment "A wrong allotment."
misanthrope "A hater of mankind; a misanthropist."
misanthropic "Alt. of Misanthropical"
misanthropical "Hating or disliking mankind."
misanthropist "A misanthrope."
misanthropos "A misanthrope."
misapplication "A wrong application."
misapplied "of Misapply"
misapplying "of Misapply"
misappreciated "Improperly appreciated."
misapprehend "To take in a wrong sense; to misunderstand."
misapprehension "A mistaking or mistake; wrong apprehension of one's meaning of a fact; misconception; misunderstanding."
misappropriate "To appropriate wrongly; to use for a wrong purpose."
misappropriation "Wrong appropriation; wrongful use."
misarranged "of Misarrange"
misarranging "of Misarrange"
misarrangement "Wrong arrangement."
misarcribe "To ascribe wrongly."
misassign "To assign wrongly."
misattend "To misunderstand; to disregard."
misaventure "Misadventure."
misavize "To misadvise."
misbear "To carry improperly; to carry wrongly; to misbehave."
misbecome "Not to become; to suit ill; not to befit or be adapted to."
misbecoming "Unbecoming."
misbode "of Misbede"
misboden "of Misbede"
misbede "To wrong; to do injury to."
misbefitting "No befitting."
misbegot "Alt. of Misbegotten"
misbegotten "Unlawfully or irregularly begotten; of bad origin; pernicious."
misbehaved "of Misbehave"
misbehaving "of Misbehave"
misbehave "To behave ill; to conduct one's self improperly; -- often used with a reciprocal pronoun."
misbelief "Erroneous or false belief."
misbeliever "One who believes wrongly; one who holds a false religion."
misbeseem "To suit ill."
misbestow "To bestow improperly."
misbestowal "The act of misbestowing."
misbileve "Misbelief; unbelief; suspicion."
misborn "Born to misfortune."
miscalculate "To calculate erroneously; to judge wrongly."
miscall "To call by a wrong name; to name improperly."
miscarriage "Unfortunate event or issue of an undertaking; failure to attain a desired result or reach a destination."
miscarriageable "Capable of miscarrying; liable to fail."
miscarried "of Miscarry"
miscarrying "of Miscarry"
miscarry "To bring forth young before the proper time."
miscast "To cast or reckon wrongly."
miscellanarian "Of or pertaining to miscellanies."
miscellane "A mixture of two or more sorts of grain; -- now called maslin and meslin."
miscellanea "A collection of miscellaneous matters; matters of various kinds."
miscellanist "A writer of miscellanies; miscellanarian."
miscellanies "of Miscellany"
miscellany "Miscellaneous; heterogeneous."
miscensure "To misjudge."
mischance "Ill luck; ill fortune; mishap."
mischanceful "Unlucky."
mischaracterize "To characterize falsely or erroneously; to give a wrong character to."
mischarge "A mistake in charging."
mischief "Cause of trouble or vexation; trouble."
mischiefable "Mischievous."
mischiefful "Mischievous."
mischief-maker "One who makes mischief; one who excites or instigates quarrels or enmity."
mischief-making "Causing harm; exciting enmity or quarrels."
mischna "See Mishna."
mischnic "See Mishnic."
mischose "of Mischoose"
mischosen "of Mischoose"
mischoosing "of Mischoose"
mischoose "To choose wrongly."
mischristen "To christen wrongly."
miscibility "Capability of being mixed."
miscitation "Erroneous citation."
miscite "To cite erroneously."
misclaim "A mistaken claim."
miscognizant "Not cognizant; ignorant; not knowing."
miscognize "To fail to apprehend; to misunderstand."
miscollocation "Wrong collocation."
miscomfort "Discomfort."
miscomprehend "To get a wrong idea of or about; to misunderstand."
miscomputation "Erroneous computation; false reckoning."
miscompute "To compute erroneously."
misconceit "Misconception."
misconceived "of Misconceive"
